IT Corporation,,,,,,,,,,,,
Profit and Loss,,,,,,,,,,,,
"1 March-30 June, 2026",,,,,,,,,,,,

,CB/TB,Carol,Colin,Heinz,KP/CM,Kevin,Matt,Matt/TB,SG,Tarryn,Not specified,Total
Income,,,,,,,,,,,,
In - IT Corp,,,,,,,,,,,,
Cabling,,,,,,,,945.00,,,-825.00,120.00
Cabinet,,,,,,"1,450.00",,"1,350.00",,,,"2,800.00"
Network Data Points,,,750.00,"4,100.00",,"2,610.00",,,"1,750.00",,,"9,210.00"
Total for Cabling,R0.00,R0.00,R750.00,"R4,100.00",R0.00,"R4,060.00",R0.00,"R2,295.00","R1,750.00",R0.00,-R825.00,"R12,130.00"
Cloud,,,150.00,,,,,,,,"44,182.66","44,332.66"
DNS Filter,,,,,,450.00,,,,,945.00,"1,395.00"
Management Labour,,,,,,,,,,,"2,420.00","2,420.00"
Office 365 Apps For Business,,,,,,"1,560.00",,,,,"8,400.00","9,960.00"
Office 365 Backup,,,,,,,,,,,"28,980.00","28,980.00"
Office 365 Business,,,,,,"1,080.00",,,"1,040.00",,"763,190.11","765,310.11"
Office 365 Business Premium,,,,,,,,,,,"21,600.00","21,600.00"
Office 365 Host Ex,,,,,,960.00,,,,,"70,131.52","71,091.52"
Office 365 Personal,,,"1,390.43","1,399.00",,"2,798.00",,,"17,200.00","5,200.00",,"27,987.43"
Office 365 Teams,,,,,,,,,,,"7,285.00","7,285.00"
Office A3 Licence,,,,,,,,,,,"12,110.00","12,110.00"
Total for Cloud,R0.00,R0.00,"R1,540.43","R1,399.00",R0.00,"R6,848.00",R0.00,R0.00,"R18,240.00","R5,200.00","R959,244.29","R992,471.72"
Commission R,,,,,,,,,,,"6,837.80","6,837.80"
Courier,,,,,,,,,835.46,,,835.46
Fuel,,,,,,,,,,,,
Surchange,,,,,,,,,,,,
Monthly SLA Fuel,,,,,,,,,,,"5,168.00","5,168.00"
Total for Surchange,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R5,168.00","R5,168.00"
Total for Fuel,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,R0.00,"R5,168.00","R5,168.00"
H/W,,,,,,,,,,,,
Backup Drives,,,,,,,,,173.91,,,173.91
CCTV,,,,653.00,,,,,,,,653.00
Computer Chassis,,,,,,"1,539.00",,,,,399.00,"1,938.00"
CPU,,,,,,"11,600.00",,,,,,"11,600.00"
Data Projector,,,698.00,,,,,,,,,698.00
Graphics Card,,,,,,"16,907.00",,,"14,393.83",,"12,649.00","43,949.83"
